team,player_name,shots_made,dribbles
BKN,brook lopez,150,192
CHA,kemba walker,137,1788
ORL,victor oladipo,162,1498
BOS,avery bradley,161,574
CHI,derrick rose,169,1649
DAL,mnta ellis,225,1610
PHI,michael carter-williams,119,1429
WAS,john wall,202,2499
DEN,ty lawson,159,1831
SAS,tony parker,129,1303
CLE,kyrie irving,235,2273
NYK,carmelo anthony,207,805
TOR,kyle lowry,165,1899
HOU,james harden,254,2512
OKC,russell westbrook,186,1936
MIL,brandon knight,151,1811
MEM,marc gasol,201,358
ATL,al horford,208,197
MIA,dwayne wade,175,1389
IND,rodney stuckey,129,927
GSW,stephen curry,214,1445
PHX,eric bledsoe,187,1792
POR,lamarcus aldridge,233,584
LAL,carlos boozer,150,189
NOP,tyreke evans,233,2337
MIN,andrew wiggins,197,599
UTA,gordon hayward,189,1143
LAC,chris paul,206,2468
SAC,darren collison,152,1559
DET,greg monroe,180,473
