GAME_ID,TEAM,WINNING_TEAM,SHOTS_MADE_BY_WINNING_TEAM,WINNIG_TEAM_TOTAL_SHOTS,SHOOTING_PERCENTAGE_BY_WINNING_TEAM
21400007,MIA vs WAS,MIA,67,145,46.206896551724135
21400102,LAC vs SAS,LAC,66,156,42.30769230769231
21400149,BKN vs MIA,BKN,57,135,42.22222222222222
21400520,MIL vs PHX,MIL,71,157,45.22292993630573
21400878,LAL vs OKC,LAL,68,148,45.94594594594595
21400225,ATL vs NOP,ATL,70,144,48.61111111111111
21400260,PHX vs IND,PHX,77,158,48.734177215189874
21400025,SAC vs POR,SAC,61,147,41.49659863945578
21400391,DEN vs LAC,DEN,76,162,46.913580246913575
21400490,MIL vs IND,MIL,72,164,43.90243902439025
21400033,DET vs BKN,DET,68,147,46.25850340136054
21400402,SAC vs LAL,SAC,71,164,43.292682926829265
21400651,GSW vs SAC,GSW,69,144,47.91666666666667
21400158,SAC vs NOP,SAC,69,146,47.26027397260274
21400470,DAL vs WAS,DAL,64,129,49.6124031007752
21400173,PHI vs PHX,PHI,54,110,49.09090909090909
21400807,NYK vs MIA,NYK,48,102,47.05882352941176
21400062,MIL vs CHI,MIL,53,130,40.76923076923077
21400088,MIL vs MEM,MIL,51,124,41.12903225806452
21400458,LAL vs PHX,LAL,82,163,50.306748466257666
21400057,CHA vs MIA,CHA,60,146,41.0958904109589
21400903,NOP vs DET,NOP,58,141,41.13475177304964
21400155,ATL vs LAL,ATL,86,166,51.80722891566265
21400126,NYK vs UTA,NYK,63,125,50.4
21400516,UTA vs IND,UTA,69,144,47.91666666666667
21400238,CLE vs IND,CLE,68,143,47.55244755244755
21400778,MIL vs BKN,MIL,71,154,46.103896103896105
21400175,TOR vs MIL,TOR,45,97,46.391752577319586
21400160,IND vs CHA,IND,67,151,44.370860927152314
21400586,LAL vs CLE,LAL,66,131,50.38167938931297
21400261,SAC vs TOR,SAC,79,158,50.0
21400397,DAL vs SAS,DAL,59,136,43.38235294117647
21400869,POR vs OKC,POR,66,146,45.20547945205479
21400546,SAC vs DEN,SAC,84,163,51.533742331288344
21400835,PHX vs BOS,PHX,63,145,43.44827586206896
21400189,MIN vs SAC,MIN,72,160,45.0
21400406,WAS vs PHX,WAS,72,156,46.15384615384615
21400613,ATL vs DET,ATL,60,150,40.0
21400376,POR vs MIL,POR,63,141,44.680851063829785
21400190,MIL vs WAS,MIL,67,149,44.966442953020135
21400840,OKC vs IND,OKC,64,143,44.75524475524475
21400901,HOU vs MEM,HOU,64,130,49.23076923076923
21400670,MEM vs ORL,MEM,63,138,45.65217391304348
21400465,ORL vs DET,ORL,54,129,41.86046511627907
21400584,HOU vs OKC,HOU,54,120,45.0
21400060,BKN vs MIN,BKN,55,126,43.65079365079365
21400084,ATL vs NYK,ATL,58,137,42.33576642335766
21400198,CHA vs LAC,CHA,74,158,46.835443037974684
21400623,MIA vs OKC,MIA,55,116,47.41379310344828
21400383,ORL vs UTA,ORL,69,140,49.28571428571429
21400473,POR vs TOR,POR,76,182,41.75824175824176
21400398,DEN vs IND,DEN,57,170,33.52941176470588
21400211,CLE vs WAS,CLE,59,118,50.0
21400481,SAS vs NOP,SAS,62,151,41.05960264900662
21400439,DAL vs LAL,DAL,66,160,41.25
21400210,CHA vs POR,CHA,71,167,42.51497005988024
21400306,SAC vs UTA,SAC,60,135,44.44444444444444
21400627,PHI vs NYK,PHI,54,137,39.416058394160586
21400099,IND vs UTA,IND,56,134,41.7910447761194
21400368,SAC vs OKC,SAC,60,137,43.79562043795621
21400373,MIA vs UTA,MIA,55,122,45.08196721311475
21400880,BOS vs GSW,BOS,74,176,42.04545454545455
21400166,TOR vs MEM,TOR,53,123,43.08943089430895
21400543,WAS vs CHI,WAS,71,166,42.77108433734939
21400647,MIN vs NOP,MIN,58,133,43.609022556390975
21400499,SAS vs WAS,SAS,69,141,48.93617021276596
21400492,UTA vs ATL,UTA,60,153,39.21568627450981
21400192,UTA vs NOP,UTA,64,131,48.854961832061065
21400839,DET vs CLE,DET,56,118,47.45762711864407
21400034,HOU vs BOS,HOU,49,131,37.404580152671755
21400834,DEN vs BKN,DEN,53,119,44.537815126050425
21400249,PHI vs SAS,PHI,62,140,44.285714285714285
21400846,HOU vs LAC,HOU,59,132,44.696969696969695
21400753,HOU vs MIL,HOU,67,136,49.26470588235294
21400504,DET vs SAC,DET,69,149,46.308724832214764
21400691,PHX vs WAS,PHX,69,163,42.331288343558285
21400027,NOP vs DAL,NOP,74,152,48.68421052631579
21400697,ATL vs POR,ATL,74,160,46.25
21400636,GSW vs HOU,GSW,71,150,47.333333333333336
21400347,SAC vs DET,SAC,54,142,38.028169014084504
21400734,TOR vs BKN,TOR,66,139,47.482014388489205
21400522,CHA vs NOP,CHA,68,151,45.033112582781456
21400480,OKC vs PHX,OKC,64,150,42.66666666666667
21400766,CLE vs LAL,CLE,69,136,50.73529411764706
21400794,NOP vs IND,NOP,51,101,50.495049504950494
21400873,MIN vs MEM,MIN,60,107,56.074766355140184
21400622,PHX vs LAL,PHX,70,143,48.95104895104895
21400815,LAL vs BKN,LAL,68,148,45.94594594594595
21400182,GSW vs UTA,GSW,66,135,48.888888888888886
21400827,DAL vs CHA,DAL,65,158,41.139240506329116
21400148,BOS vs PHX,BOS,81,158,51.26582278481012
21400461,BKN vs SAC,BKN,72,149,48.322147651006716
21400206,MIA vs GSW,MIA,75,157,47.77070063694268
21400687,NOP vs DEN,NOP,63,138,45.65217391304348
21400630,MEM vs TOR,MEM,56,143,39.16083916083916
21400579,CHI vs WAS,CHI,73,154,47.4025974025974
21400400,TOR vs NYK,TOR,81,163,49.693251533742334
21400580,BOS vs ATL,BOS,56,130,43.07692307692308
21400495,ORL vs CHA,ORL,66,157,42.038216560509554
21400639,POR vs BOS,POR,58,143,40.55944055944056
21400748,ORL vs LAL,ORL,66,139,47.482014388489205
21400776,WAS vs ORL,WAS,54,130,41.53846153846154
21400507,PHX vs TOR,PHX,78,153,50.98039215686274
21400601,DET vs PHI,DET,61,139,43.884892086330936
21400871,MIA vs ATL,MIA,44,98,44.89795918367347
21400619,MIL vs TOR,MIL,62,142,43.66197183098591
21400645,NYK vs ORL,NYK,71,149,47.651006711409394
21400170,MIA vs LAC,MIA,66,125,52.800000000000004
21400229,OKC vs NYK,OKC,54,119,45.378151260504204
21400236,WAS vs NOP,WAS,59,141,41.843971631205676
21400341,CHA vs BKN,CHA,63,129,48.837209302325576
21400511,BKN vs DAL,BKN,66,157,42.038216560509554
21400268,HOU vs MEM,HOU,63,123,51.21951219512195
21400282,MEM vs SAS,MEM,69,153,45.09803921568628
21400724,DAL vs MIN,DAL,56,126,44.44444444444444
21400318,ORL vs WAS,ORL,74,157,47.13375796178344
21400699,BKN vs TOR,BKN,85,173,49.13294797687861
21400201,TOR vs PHX,TOR,65,139,46.76258992805755
21400684,TOR vs SAC,TOR,72,143,50.349650349650354
21400074,BOS vs IND,BOS,69,148,46.62162162162162
21400202,HOU vs NYK,HOU,52,116,44.827586206896555
21400517,POR vs LAL,POR,63,156,40.38461538461539
21400438,OKC vs CHA,OKC,53,144,36.80555555555556
